"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Objective-C", "Objective-C++", "C++", "XML", "Groovy", "Properties", "Batch", "Makefile", "Java", "comment", "blank", "total"
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\App.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\DrawerNav.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 143, 36, 371
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\debug\java\com\ml9ja\ReactNativeFlipper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 8, 2, 69
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 4, 33
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\java\com\ml9ja\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 15, 9, 58
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\java\com\ml9ja\MainApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 14, 16, 114
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\java\com\ml9ja\newarchitecture\MainApplicationReactNativeHost.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 20, 14, 117
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\java\com\ml9ja\newarchitecture\components\MainComponentsRegistry.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 8, 7, 37
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\java\com\ml9ja\newarchitecture\modules\MainApplicationTurboModuleManagerDelegate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 10, 9, 49
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\Android.mk", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 12, 10, 50
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\MainApplicationModuleProvider.cpp", "C++", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 5, 25
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\MainApplicationModuleProvider.h", "C++", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.cpp", "C++", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 8, 46
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\MainApplicationTurboModuleManagerDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 9, 39
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\MainComponentsRegistry.cpp", "C++", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 14, 62
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\MainComponentsRegistry.h", "C++", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 9, 33
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\jni\OnLoad.cpp", "C++", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 23, 3, 37
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\res\drawable\splashscreen.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 9, 6, 61
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 32, 12, 54
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 22, 90
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\app.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 11
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\CustomInput\CustomInput.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\CustomInput\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\Drawer\DrawerComponent.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\Drawer\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\HiddenIndicator\HiddenIndicator.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\NewsFeed\NewsFeed.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 56
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\NewsFeed\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\PasswordBar\PasswordBar.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\SafeView\SafeView.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\Xfeed\Grangerfeed.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\Xfeed\Guinfeed.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\Xfeed\Lingfeed.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\components\Xfeed\Lunoxfeed.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\firebase.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 28
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 9
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\Podfile.properties.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 6, 31, 144
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\SplashScreen.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\Images.xcassets\SplashScreenBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\SplashScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 1, 1, 92
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\ios\ml9ja\main.m", "Objective-C", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\metro.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\package-lock.json", "JSON", 0, 0, 26779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26780
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\data-aspects.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\default-layout.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\default-login.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\form-builder.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\config\@sanity\vision.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\sanity.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\author.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\category.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\news.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\schemas\schema.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 24
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\sanity\tsconfig.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\AuthenticationStack.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\LoginScreen.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 36, 144
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\SignupScreen.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33, 147
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\AuthenticationScreen\StartingScreen.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\EventsScreen\EventsScreen.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\EventsScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\ContentScreen.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 61
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\FantasyScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\GauntletScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\GistScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 84
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeChildScreens\MLNewsScreen.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 84
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeScreen\HomeScreen.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 86
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\HomeScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\ProfileScreen\ProfileScreen.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\ProfileScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\RootStackScreen\RootStackScreen.js", "JavaScript", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 155
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\RootStackScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\TournieScreen\TournieScreen.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\screens\TournieScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Akin.LAPTOP-PB27B2LT\ml9ja\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 9
"Total", "-", 1246, 3, 27002, 8, 7, 107, 166, 157, 251, 15, 68, 28, 312, 364, 591, 30325